ReqID,Test Id,RegWt,ReqSize,ReqQuality,Result
19,19839,0,3,1,0
19,19840,0,3,1,0
19,19841,0,3,1,0
19,19842,0,3,1,0
18,19848,0,3,1,0
18,19849,0,3,1,0
18,19850,0,3,1,0
18,19851,0,3,1,0
18,19852,0,3,1,0
18,19853,0,3,1,0
18,19854,0,3,1,0
7,92637,0,1,1,0
7,92638,0,1,1,0
7,92639,0,1,1,0
7,92640,0,1,1,0
7,92641,0,1,1,0
7,92642,0,1,1,0
7,92643,16,1,1,0
7,92644,16,1,1,0
7,92645,0,1,1,0
7,92646,0,1,1,0
7,92647,0,1,1,0
7,92648,0,1,1,0
7,92649,0,1,1,0
7,92650,0,1,1,0
7,92651,0,1,1,0
7,92652,0,1,1,0
7,92653,0,1,1,0
7,92654,0,1,1,0
7,92655,0,1,1,0
7,92656,0,1,1,0
7,92657,0,1,1,0
7,92658,0,1,1,0
7,92659,0,1,1,0
7,92660,0,1,1,0
7,92661,0,1,1,0
7,92662,0,1,1,0
7,92663,0,1,1,0
7,92664,0,1,1,0
7,92665,0,1,1,0
7,92666,0,1,1,0
7,92667,2,1,1,0
7,92668,2,1,1,0
7,92669,2,1,1,0
7,92670,2,1,1,0
7,92671,0,1,1,0
7,92672,0,1,1,0
7,92673,0,1,1,0
7,92675,0,1,1,0
7,92676,0,1,1,0
7,92677,0,1,1,0
7,92678,0,1,1,0
7,92679,0,1,1,0
7,92680,0,1,1,0
7,92681,0,1,1,0
7,92682,0,1,1,0
7,92683,2,1,1,0
7,92684,0,1,1,0
7,92684,0,1,1,0
7,92685,0,1,1,0
7,92686,0,1,1,0
7,92687,0,1,1,0
7,92688,0,1,1,0
7,92689,0,1,1,0
7,92690,0,1,1,0
7,92691,8,1,1,0
7,92692,8,1,1,0
7,92693,8,1,1,0
7,92694,0,1,1,0
7,92695,0,1,1,0
7,92696,0,1,1,0
7,92697,0,1,1,0
7,92698,24,1,1,1
7,92699,24,1,1,1
7,92700,0,1,1,0
7,92701,0,1,1,0
7,92702,0,1,1,0
7,92703,0,1,1,0
7,92704,0,1,1,0
7,92705,0,1,1,0
7,92706,4,1,1,0
7,92707,0,1,1,0
7,92708,0,1,1,0
13,93048,0,2,1,0
13,93049,0,2,1,0
13,93050,0,2,1,0
13,93051,0,2,1,0
13,93052,0,2,1,0
13,93053,0,2,1,0
13,93054,0,2,1,0
13,93055,0,2,1,0
13,93056,0,2,1,0
13,93057,0,2,1,0
13,93058,0,2,1,0
13,93059,0,2,1,0
13,93060,0,2,1,0
13,93061,0,2,1,0
13,93062,0,2,1,0
13,93063,0,2,1,0
13,93064,0,2,1,0
13,93065,0,2,1,0
13,93066,0,2,1,0
13,93067,0,2,1,0
13,93068,0,2,1,0
13,93069,0,2,1,0
13,93070,0,2,1,0
13,93071,0,2,1,0
13,93072,0,2,1,0
13,93073,0,2,1,0
13,93074,0,2,1,0
13,93075,0,2,1,0
13,93076,0,2,1,0
13,93077,0,2,1,0
13,93078,0,2,1,0
13,93079,0,2,1,0
14,93291,0,2,1,0
14,93292,0,2,1,0
14,93293,0,2,1,0
14,93294,0,2,1,0
14,93295,0,2,1,0
14,93296,0,2,1,0
14,93297,0,2,1,0
14,93298,0,2,1,0
14,93299,0,2,1,0
14,93300,0,2,1,0
14,93301,0,2,1,0
14,93302,0,2,1,0
14,93303,0,2,1,0
14,93304,0,2,1,0
14,93305,0,2,1,0
14,93306,0,2,1,0
14,93307,0,2,1,0
14,93308,0,2,1,0
2,100280,0,3,3,0
2,100281,0,3,3,0
2,100282,0,3,3,0
2,100283,2,3,3,0
2,100284,0,3,3,0
2,100285,2,3,3,0
2,100286,2,3,3,0
2,100287,0,3,3,0
2,100288,2,3,3,0
2,100289,2,3,3,0
2,100290,2,3,3,0
2,100291,0,3,3,0
5,100300,0,3,3,0
5,100301,0,3,3,0
5,100302,2,3,3,0
5,100303,0,3,3,0
5,100304,0,3,3,0
5,100305,2,3,3,0
5,100306,0,3,3,0
5,100307,0,3,3,0
5,100308,2,3,3,0
5,100309,2,3,3,0
5,100310,2,3,3,0
5,100311,0,3,3,0
5,100312,0,3,3,0
5,100313,0,3,3,0
5,100314,0,3,3,0
5,100315,0,3,3,0
5,100316,0,3,3,0
5,100317,0,3,3,0
5,100318,0,3,3,0
5,100319,0,3,3,0
5,100320,0,3,3,0
5,100321,0,3,3,0
5,100322,0,3,3,0
5,100323,0,3,3,0
5,100324,0,3,3,0
